conversation_id,message_number,speaker,message,category,brand
CONV009,3,customer,"CLQ-92001. I want this resolved NOW. That's 7000 rupees sitting in limbo.",payment_issue,CliQ
CONV009,4,agent,"I can see the issue. The first transaction failed but your bank held the amount. The second charge is the actual payment. The first hold of 3499 will auto-release within 3-5 business days. I can also write to your bank to expedite the release.",payment_issue,CliQ
CONV009,5,customer,"3-5 days? That's not acceptable. I need that money.",payment_issue,CliQ
CONV009,6,agent,"I completely understand. Let me initiate a refund request letter to your bank right now. With our merchant code, most banks release within 24 hours. I'll also add 350 NeuCoins to your account for the trouble.",payment_issue,CliQ
CONV009,7,customer,"Okay fine. Send the letter. And make sure those NeuCoins actually show up.",payment_issue,CliQ
CONV009,8,customer,"Actually I just checked - the NeuCoins are already there. Thanks for being quick on that at least.",payment_issue,CliQ
CONV010,1,customer,"I booked a room at Taj through IHCL last month and it was the best experience. Just wanted to say thanks to your team.",positive_feedback,IHCL
CONV010,2,agent,"What a wonderful message to receive! Thank you so much. We're delighted you had a memorable stay. Which property did you visit?",positive_feedback,IHCL
CONV010,3,customer,"Taj Lake Palace in Udaipur. The staff was incredible and the room upgrade was such a nice surprise.",positive_feedback,IHCL
CONV010,4,agent,"Taj Lake Palace is truly magical! I'll make sure your feedback reaches the team there. Since you loved Udaipur, you might enjoy our Sawai Madhopur Lodge near Ranthambore - it's perfect for a wildlife weekend getaway.",cross_sell_attempt,IHCL
CONV010,5,customer,"Ranthambore! I've been wanting to go there. What are the rates for next month?",cross_sell_success,IHCL
